course_num,course_name,provider_id,univ_id,level,specialist_education,prof_year,duration,tuition_fee,regional
YN786,Bachelor of Arts,104685155@student.swin.edu.au,1,Bachelor,None,FALSE,4,60k-100k,FALSE
JJ941,Bachelor of Engineering,104685155@student.swin.edu.au,1,Bachelor,Engineering,FALSE,4,<60k,FALSE
RM811,Bachelor of Science,104685155@student.swin.edu.au,1,Bachelor,Engineering,FALSE,6,<60k,FALSE
NL793,Bachelor of Arts,104685155@student.swin.edu.au,1,Bachelor,None,FALSE,4,>100k,FALSE
PY846,Bachelor of Arts,104685155@student.swin.edu.au,1,Bachelor,None,FALSE,4,60k-100k,FALSE
BB922,Master of Engineering,104685155@student.swin.edu.au,1,Master,Engineering,FALSE,2,<60k,TRUE
QI041,Master of Data Science,104685155@student.swin.edu.au,1,Master,None,TRUE,4,60k-100k,TRUE
RB424,Master of Business,104685155@student.swin.edu.au,1,Master,None,TRUE,4,>100k,FALSE
BP825,Master of Business,104685155@student.swin.edu.au,1,Master,None,FALSE,4,>100k,FALSE
BZ659,Master of Science,104685155@student.swin.edu.au,1,Master,None,TRUE,4,>100k,FALSE
HZ480,Doctorate in IT,104685155@student.swin.edu.au,1,Doctorate,None,TRUE,4,>100k,TRUE
MA421,Doctorate in Data Science,104685155@student.swin.edu.au,1,Doctorate,Science,TRUE,6,<60k,FALSE
AH376,Doctorate in Science,104685155@student.swin.edu.au,1,Doctorate,None,FALSE,4,>100k,FALSE
PP211,Doctorate in Science,104685155@student.swin.edu.au,1,Doctorate,Science,TRUE,6,<60k,TRUE
NB711,Doctorate in Engineering,104685155@student.swin.edu.au,1,Doctorate,Engineering,TRUE,6,<60k,FALSE
HB400,Bachelor of IT,104685155@student.swin.edu.au,2,Bachelor,None,FALSE,6,60k-100k,FALSE
UH827,Bachelor of Arts,104685155@student.swin.edu.au,2,Bachelor,None,FALSE,6,60k-100k,FALSE
WJ888,Bachelor of Engineering,104685155@student.swin.edu.au,2,Bachelor,Engineering,FALSE,6,>100k,FALSE
WQ013,Bachelor of Arts,104685155@student.swin.edu.au,2,Bachelor,None,FALSE,4,>100k,FALSE
TD009,Bachelor of Science,104685155@student.swin.edu.au,2,Bachelor,Mathematics,FALSE,6,<60k,FALSE
LU571,Master of IT,104685155@student.swin.edu.au,2,Master,ICT,TRUE,2,<60k,TRUE
EY202,Master of IT,104685155@student.swin.edu.au,2,Master,ICT,FALSE,2,<60k,TRUE
UH653,Master of Engineering,104685155@student.swin.edu.au,2,Master,Engineering,TRUE,4,<60k,FALSE
LR573,Master of Science,104685155@student.swin.edu.au,2,Master,Technology,FALSE,2,>100k,FALSE
SY544,Master of IT,104685155@student.swin.edu.au,2,Master,ICT,FALSE,4,>100k,TRUE
CL255,Doctorate in IT,104685155@student.swin.edu.au,2,Doctorate,None,TRUE,6,<60k,FALSE
NQ981,Doctorate in Engineering,104685155@student.swin.edu.au,2,Doctorate,Engineering,TRUE,4,60k-100k,FALSE
OI997,Doctorate in Data Science,104685155@student.swin.edu.au,2,Doctorate,Science,TRUE,4,>100k,FALSE
OW548,Doctorate in IT,104685155@student.swin.edu.au,2,Doctorate,ICT,TRUE,6,>100k,FALSE
QE017,Doctorate in Business,104685155@student.swin.edu.au,2,Doctorate,None,TRUE,6,60k-100k,TRUE
QA384,Bachelor of IT,104685155@student.swin.edu.au,3,Bachelor,ICT,FALSE,6,<60k,FALSE
KR952,Bachelor of IT,104685155@student.swin.edu.au,3,Bachelor,None,FALSE,6,<60k,FALSE
YP045,Bachelor of Engineering,104685155@student.swin.edu.au,3,Bachelor,Engineering,FALSE,6,<60k,FALSE
WZ511,Bachelor of IT,104685155@student.swin.edu.au,3,Bachelor,ICT,FALSE,6,<60k,FALSE
MR481,Bachelor of Engineering,104685155@student.swin.edu.au,3,Bachelor,Engineering,FALSE,4,<60k,FALSE
EL184,Master of Science,104685155@student.swin.edu.au,3,Master,Engineering,TRUE,2,60k-100k,TRUE
VQ863,Master of Science,104685155@student.swin.edu.au,3,Master,Engineering,FALSE,4,<60k,TRUE
IE230,Master of Engineering,104685155@student.swin.edu.au,3,Master,Engineering,TRUE,2,60k-100k,FALSE
PK266,Master of Data Science,104685155@student.swin.edu.au,3,Master,None,TRUE,4,60k-100k,FALSE
AG881,Master of Engineering,104685155@student.swin.edu.au,3,Master,Engineering,TRUE,2,60k-100k,FALSE
MN661,Doctorate in Data Science,104685155@student.swin.edu.au,3,Doctorate,Science,FALSE,4,>100k,TRUE
TE799,Doctorate in Data Science,104685155@student.swin.edu.au,3,Doctorate,Science,TRUE,4,<60k,TRUE
HP632,Doctorate in Business,104685155@student.swin.edu.au,3,Doctorate,None,FALSE,4,>100k,FALSE
UF304,Doctorate in Business,104685155@student.swin.edu.au,3,Doctorate,None,FALSE,4,60k-100k,TRUE
YB686,Doctorate in Business,104685155@student.swin.edu.au,3,Doctorate,None,TRUE,6,60k-100k,TRUE
RV290,Bachelor of Engineering,104685155@student.swin.edu.au,4,Bachelor,Engineering,FALSE,6,>100k,FALSE
OK691,Bachelor of IT,104685155@student.swin.edu.au,4,Bachelor,ICT,FALSE,4,60k-100k,FALSE
AH929,Bachelor of Engineering,104685155@student.swin.edu.au,4,Bachelor,Engineering,FALSE,6,>100k,FALSE
PW344,Bachelor of Engineering,104685155@student.swin.edu.au,4,Bachelor,Engineering,FALSE,6,>100k,FALSE
TQ279,Bachelor of IT,104685155@student.swin.edu.au,4,Bachelor,ICT,FALSE,6,<60k,FALSE
MH691,Master of IT,104685155@student.swin.edu.au,4,Master,ICT,FALSE,2,>100k,TRUE
GZ124,Master of IT,104685155@student.swin.edu.au,4,Master,ICT,TRUE,2,<60k,FALSE
BT980,Master of Data Science,104685155@student.swin.edu.au,4,Master,Science,FALSE,4,>100k,TRUE
OA202,Master of Science,104685155@student.swin.edu.au,4,Master,ICT,TRUE,4,>100k,FALSE
KZ000,Master of IT,104685155@student.swin.edu.au,4,Master,ICT,FALSE,2,>100k,FALSE
QH815,Doctorate in Business,104685155@student.swin.edu.au,4,Doctorate,None,TRUE,4,60k-100k,TRUE
ZF951,Doctorate in IT,104685155@student.swin.edu.au,4,Doctorate,None,TRUE,6,60k-100k,FALSE
QE746,Doctorate in Engineering,104685155@student.swin.edu.au,4,Doctorate,Engineering,FALSE,4,<60k,FALSE
MH299,Doctorate in Engineering,104685155@student.swin.edu.au,4,Doctorate,Engineering,FALSE,4,>100k,TRUE
WI015,Doctorate in Engineering,104685155@student.swin.edu.au,4,Doctorate,Engineering,TRUE,6,>100k,TRUE
PG142,Bachelor of IT,104685155@student.swin.edu.au,5,Bachelor,ICT,FALSE,4,60k-100k,FALSE
